epoch,loss
1,0.196082204580307
2,0.10916201770305634
3,0.05319628119468689
4,0.02697240374982357
5,0.04771030694246292
6,0.04991287365555763
7,0.03504280373454094
8,0.026782937347888947
9,0.026627961546182632
10,0.029734577983617783
11,0.03244798630475998
12,0.033210236579179764
13,0.03194207325577736
14,0.029354238882660866
15,0.02645818144083023
16,0.024219319224357605
17,0.023262884467840195
18,0.023624418303370476
19,0.024680275470018387
20,0.02546260692179203
21,0.02528315968811512
22,0.024147523567080498
23,0.022605959326028824
24,0.021288717165589333
25,0.020548056811094284
26,0.020372232422232628
27,0.02049948461353779
28,0.020598744973540306
29,0.020422659814357758
30,0.019890418276190758
31,0.019093135371804237
32,0.01823425479233265
33,0.01752944104373455
34,0.017101064324378967
35,0.01691300794482231
36,0.016789622604846954
37,0.016524653881788254
38,0.016017096117138863
39,0.01533404178917408
40,0.014652737416327
41,0.014130125753581524
42,0.013796230778098106
43,0.01354154385626316
44,0.013204487040638924
45,0.012698869220912457
46,0.012084722518920898
47,0.011517868377268314
48,0.011107309721410275
49,0.010803600773215294
50,0.010446105152368546
51,0.00994738657027483
52,0.009408272802829742
53,0.009002191945910454
54,0.008740384131669998
55,0.008437098003923893
56,0.007994654588401318
57,0.007573597598820925
58,0.007308556232601404
59,0.00705336919054389
60,0.006659280508756638
61,0.006258333567529917
62,0.005967324133962393
63,0.005635787732899189
64,0.005192968063056469
65,0.004791930317878723
66,0.004479127936065197
67,0.004166724625974894
68,0.0038809250108897686
69,0.0037087122909724712
70,0.003603177610784769
71,0.003485745983198285
72,0.0034253904595971107
73,0.0034837329294532537
74,0.0035557576920837164
75,0.003587355837225914
76,0.0036577407736331224
77,0.003708440810441971
78,0.0036259694024920464
79,0.0035126337315887213
80,0.0034407952334731817
81,0.0033339376095682383
82,0.003235657699406147
83,0.0032153131905943155
84,0.0032062113750725985
85,0.0031922024209052324
86,0.0032156265806406736
87,0.003238227218389511
88,0.0032285761553794146
89,0.00321938400156796
90,0.003208294278010726
91,0.003168909577652812
92,0.0031237720977514982
93,0.0030911224894225597
94,0.003050904255360365
95,0.0030090694781392813
96,0.0029845773242413998
97,0.0029615547973662615
98,0.002936580451205373
99,0.0029242585878819227
100,0.00291101960465312
101,0.00289280922152102
102,0.0028822822496294975
103,0.0028679848182946444
104,0.002847056370228529
105,0.002828406635671854
106,0.0028046714141964912
107,0.0027792961336672306
108,0.002760315081104636
109,0.002741927746683359
110,0.0027265523094683886
111,0.0027162444312125444
112,0.0027040448039770126
113,0.0026920598465949297
114,0.0026806516107171774
115,0.0026663232129067183
116,0.00265306793153286
117,0.0026394955348223448
118,0.0026245624758303165
119,0.002611512318253517
120,0.002597905695438385
121,0.002585415728390217
122,0.0025748934131115675
123,0.002564559457823634
124,0.0025558271445333958
125,0.0025464696809649467
126,0.0025363601744174957
127,0.002526179887354374
128,0.0025150892324745655
129,0.002504998352378607
130,0.0024953619576990604
131,0.0024864550214260817
132,0.002478233305737376
133,0.0024698239285498857
134,0.0024619358591735363
135,0.0024537162389606237
136,0.002445714548230171
137,0.002437555231153965
138,0.002429343992844224
139,0.0024213744327425957
140,0.0024135399144142866
141,0.0024062988813966513
142,0.0023991346824914217
143,0.002392261289060116
144,0.0023852353915572166
145,0.0023783163633197546
146,0.0023714054841548204
147,0.0023646533954888582
148,0.002358000259846449
149,0.0023514549247920513
150,0.002345068845897913
